Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Vision_Score,Defensive_Vulnerability
Away,SET PIECE,KICK OFF,1,1,0.04,0,0.0,Player19,,,,,,0.0,True
Away,PASS,,1,1,0.04,3,0.12,Player19,Player21,0.45,0.39,0.55,0.43,3383.5273349101726,True
Away,PASS,,1,3,0.12,17,0.68,Player21,Player15,0.55,0.43,0.58,0.21,,False
Away,PASS,,1,45,1.8,61,2.44,Player15,Player19,0.55,0.19,0.45,0.31,522.030165792916,True
Away,PASS,,1,77,3.08,96,3.84,Player19,Player21,0.45,0.32,0.49,0.47,2850.8046239830865,True
Away,PASS,,1,191,7.64,217,8.68,Player21,Player22,0.4,0.73,0.32,0.98,1039.8285958752606,True
Away,PASS,,1,279,11.16,303,12.12,Player22,Player17,0.39,0.96,0.49,0.98,3995.425434252087,False
Away,BALL LOST,INTERCEPTION,1,346,13.84,380,15.2,Player17,,0.51,0.97,0.27,0.75,,False
Home,RECOVERY,INTERCEPTION,1,378,15.12,378,15.12,Player2,,0.27,0.78,,,3389.2297998596523,False
Home,BALL LOST,INTERCEPTION,1,378,15.12,452,18.08,Player2,,0.27,0.78,0.59,0.64,1988.8755797121257,True
Away,RECOVERY,INTERCEPTION,1,453,18.12,453,18.12,Player16,,0.57,0.67,,,3389.423784063577,False
Away,BALL LOST,HEAD-INTERCEPTION,1,453,18.12,497,19.88,Player16,,0.57,0.67,0.33,0.65,,False
Away,CHALLENGE,AERIAL-LOST,1,497,19.88,497,19.88,Player18,,0.38,0.67,,,3389.2636697100247,False
Home,CHALLENGE,AERIAL-WON,1,498,19.92,498,19.92,Player2,,0.36,0.67,,,3389.3011591666955,False
Home,RECOVERY,INTERCEPTION,1,498,19.92,498,19.92,Player2,,0.36,0.67,,,3389.3011591666955,False
Home,PASS,HEAD,1,498,19.92,536,21.44,Player2,Player9,0.36,0.67,0.53,0.59,1907.62699634633,True
Home,PASS,,1,536,21.44,556,22.24,Player9,Player10,0.53,0.59,0.5,0.65,825.3511871935855,True
Home,BALL LOST,INTERCEPTION,1,572,22.88,616,24.64,Player10,,0.5,0.65,0.67,0.44,626.5002549811522,True
Away,RECOVERY,INTERCEPTION,1,618,24.72,618,24.72,Player16,,0.64,0.46,,,3389.5607944979743,False
Away,PASS,,1,763,30.52,784,31.36,Player16,Player19,0.58,0.27,0.51,0.33,323.05351856182875,True
Away,PASS,,1,784,31.36,804,32.16,Player19,Player20,0.51,0.33,0.57,0.47,3438.4643130833965,False
Away,PASS,,1,834,33.36,881,35.24,Player20,Player22,0.53,0.53,0.44,0.92,1207.4423574943376,True
Away,PASS,,1,976,39.04,1010,40.4,Player22,Player17,0.36,0.96,0.48,0.86,1195.0501348396529,True
Away,BALL LOST,INTERCEPTION,1,1110,44.4,1134,45.36,Player17,,0.42,0.79,0.31,0.84,,False
Home,RECOVERY,INTERCEPTION,1,1134,45.36,1134,45.36,Player5,,0.32,0.89,,,3389.1684417047973,False
Home,PASS,HEAD,1,1134,45.36,1154,46.16,Player5,Player6,0.32,0.89,0.31,0.78,,False
Home,PASS,,1,1154,46.16,1177,47.08,Player6,Player10,0.31,0.78,0.41,0.74,2075.9725435863493,True
Home,PASS,,1,1226,49.04,1266,50.64,Player10,Player8,0.46,0.68,0.56,0.34,,False
Home,BALL LOST,INTERCEPTION,1,1370,54.8,1375,55.0,Player8,,0.86,0.26,0.88,0.28,4532.573039305654,False
Away,RECOVERY,INTERCEPTION,1,1374,54.96,1374,54.96,Player15,,0.87,0.29,,,3388.864453812978,True
Away,BALL OUT,,1,1374,54.96,1425,57.0,Player15,,0.87,0.29,1.05,0.17,1490.6296070867181,True
Home,SET PIECE,CORNER KICK,1,2143,85.72,2143,85.72,Player6,,,,,,0.0,True
Home,PASS,,1,2143,85.72,2184,87.36,Player6,Player10,1.0,0.01,0.9,0.09,129.42214712968965,True
Home,PASS,CROSS,1,2263,90.52,2289,91.56,Player10,Player9,0.89,0.14,0.92,0.47,2141.6984876228894,True
Home,SHOT,HEAD-ON TARGET-GOAL,1,2289,91.56,2309,92.36,Player9,,0.92,0.47,1.01,0.55,4606.155456724147,False
Away,SET PIECE,KICK OFF,1,3675,147.0,3675,147.0,Player19,,,,,,0.0,True
Away,PASS,,1,3675,147.0,3703,148.12,Player19,Player21,0.49,0.5,0.58,0.52,4087.2575852472564,False
Away,PASS,,1,3780,151.2,3805,152.2,Player21,Player20,0.57,0.53,0.58,0.73,2038.6819098175147,True
Away,PASS,,1,3829,153.16,3854,154.16,Player20,Player22,0.57,0.76,0.52,0.98,1211.487403270992,True
Away,PASS,,1,3882,155.28,3907,156.28,Player22,Player17,0.55,0.95,0.69,0.87,1662.4427691458272,True
Away,PASS,,1,3930,157.2,3994,159.76,Player17,Player25,0.71,0.86,0.93,0.55,416.7232804719927,True
Away,BALL OUT,,1,4093,163.72,4164,166.56,Player25,,0.93,0.56,0.49,1.04,467.28399502516135,True
Home,SET PIECE,THROW IN,1,4386,175.44,4386,175.44,Player1,,,,,,0.0,True
Home,PASS,,1,4386,175.44,4445,177.8,Player1,Player10,0.49,1.01,0.55,0.84,3.4912030990457925,True
Home,BALL LOST,,1,4445,177.8,4453,178.12,Player10,,0.55,0.84,0.57,0.78,,False
Away,RECOVERY,,1,4452,178.08,4452,178.08,Player19,,0.56,0.82,,,3389.2894710000537,False
Away,BALL LOST,INTERCEPTION,1,4489,179.56,4518,180.72,Player19,,0.54,0.87,0.48,0.85,,False
Home,RECOVERY,INTERCEPTION,1,4516,180.64,4516,180.64,Player1,,0.5,0.87,,,3389.220007378031,False
Home,BALL LOST,INTERCEPTION,1,4620,184.8,4679,187.16,Player1,,0.37,0.97,0.65,0.92,2669.2021056898325,True
Away,RECOVERY,INTERCEPTION,1,4679,187.16,4679,187.16,Player17,,0.62,0.92,,,3389.246974133122,False
Away,BALL LOST,INTERCEPTION,1,4709,188.36,4749,189.96,Player17,,0.6,0.95,0.36,0.78,,False
Home,RECOVERY,INTERCEPTION,1,4751,190.04,4751,190.04,Player7,,0.39,0.78,,,3389.235313614004,False
Home,BALL OUT,,1,4751,190.04,4836,193.44,Player7,,0.39,0.78,0.67,1.03,4646.270942716448,False
Away,SET PIECE,THROW IN,1,5057,202.28,5057,202.28,Player22,,,,,,0.0,True
Away,PASS,,1,5057,202.28,5081,203.24,Player22,Player19,0.58,1.01,0.57,0.89,1.386002025034572,True
Away,BALL LOST,INTERCEPTION,1,5081,203.24,5150,206.0,Player19,,0.57,0.89,0.25,0.84,,False
Home,RECOVERY,INTERCEPTION,1,5149,205.96,5149,205.96,Player2,,0.24,0.82,,,3389.180986405213,False
Home,PASS,,1,5149,205.96,5202,208.08,Player2,Player1,0.24,0.82,0.32,0.89,4717.4405713946035,False
Home,BALL LOST,INTERCEPTION,1,5202,208.08,5228,209.12,Player1,,0.32,0.89,0.33,0.84,,False
Home,CHALLENGE,GROUND-LOST,1,5228,209.12,5228,209.12,Player6,,0.36,0.82,,,3389.2387874979104,False
Away,CHALLENGE,GROUND-WON,1,5228,209.12,5228,209.12,Player19,,0.36,0.83,,,3389.2150757494933,False
Away,RECOVERY,INTERCEPTION,1,5228,209.12,5228,209.12,Player19,,0.36,0.83,,,3389.2150757494933,False
Away,BALL LOST,,1,5228,209.12,5263,210.52,Player19,,0.36,0.83,0.28,0.83,,False
Home,RECOVERY,INTERCEPTION,1,5263,210.52,5263,210.52,Player1,,0.29,0.85,,,3389.1719105346288,False
Home,BALL LOST,INTERCEPTION,1,5316,212.64,5384,215.36,Player1,,0.26,0.96,0.64,0.88,2558.4119038481113,True
Away,RECOVERY,INTERCEPTION,1,5385,215.4,5385,215.4,Player17,,0.59,0.89,,,3389.2606425874387,False
Away,PASS,HEAD,1,5385,215.4,5412,216.48,Player17,Player20,0.59,0.89,0.54,0.85,,False
Away,PASS,,1,5431,217.24,5471,218.84,Player20,Player18,0.55,0.83,0.45,0.5,,False
Away,BALL LOST,,1,5507,220.28,5517,220.68,Player18,,0.38,0.47,0.28,0.41,,False
Home,RECOVERY,,1,5520,220.8,5520,220.8,Player4,,0.3,0.43,,,3389.52358300402,False
Home,BALL LOST,INTERCEPTION,1,5520,220.8,5550,222.0,Player4,,0.3,0.43,0.28,0.52,1253.7937965943347,True
Away,RECOVERY,INTERCEPTION,1,5549,221.96,5549,221.96,Player18,,0.29,0.49,,,3389.4783555879017,False
Home,CHALLENGE,TACKLE-WON,1,5627,225.08,5627,225.08,Player1,,0.14,0.6,,,3389.30929458731,False
Home,RECOVERY,THEFT,1,5627,225.08,5627,225.08,Player1,,0.14,0.6,,,3389.30929458731,False
Home,PASS,,1,5627,225.08,5663,226.52,Player1,Player2,0.14,0.6,0.18,0.53,,False
Away,CHALLENGE,TACKLE-LOST,1,5628,225.12,5628,225.12,Player18,,0.15,0.56,,,3389.3603687526424,False
Away,BALL LOST,THEFT,1,5628,225.12,5628,225.12,Player18,,0.15,0.56,,,3389.3603687526424,False
Home,PASS,,1,5663,226.52,5685,227.4,Player2,Player8,0.18,0.53,0.24,0.4,,False
Home,PASS,,1,5761,230.44,5809,232.36,Player8,Player10,0.39,0.29,0.6,0.09,1004.3333304976522,True
Home,SHOT,OFF TARGET-OUT,1,5923,236.92,5953,238.12,Player10,,0.84,0.27,1.04,0.6,3859.9641408365533,False
Away,RECOVERY,,1,6685,267.4,6685,267.4,Player25,,0.95,0.45,,,3389.3377241761705,False
Away,PASS,GOAL KICK,1,6685,267.4,6779,271.16,Player25,Player18,0.95,0.45,0.53,0.04,,False
Away,BALL LOST,HEAD,1,6779,271.16,6844,273.76,Player18,,0.53,0.04,0.57,0.31,2455.244605077297,True
Home,RECOVERY,,1,6844,273.76,6844,273.76,Player6,,0.54,0.3,,,3389.6486054429065,False
Away,CHALLENGE,GROUND-WON,1,6863,274.52,6863,274.52,Player21,,0.53,0.29,,,3389.648161778735,False
Away,RECOVERY,INTERCEPTION,1,6863,274.52,6863,274.52,Player21,,0.53,0.29,,,3389.648161778735,False
Away,PASS,,1,6863,274.52,6886,275.44,Player21,Player20,0.53,0.29,0.54,0.37,2374.8442777528494,True
Home,BALL LOST,INTERCEPTION,1,6864,274.56,6885,275.4,Player6,,0.54,0.3,0.55,0.37,2445.111912502007,True
Away,PASS,,1,6905,276.2,6946,277.84,Player20,Player22,0.52,0.41,0.46,0.78,1354.5006993210814,True
Away,BALL LOST,CROSS-INTERCEPTION,1,6987,279.48,7043,281.72,Player22,,0.38,0.84,0.08,0.4,,False
Home,CHALLENGE,GROUND-WON,1,7041,281.64,7041,281.64,Player3,,0.1,0.42,,,3389.4740052657653,False
Home,RECOVERY,INTERCEPTION,1,7041,281.64,7041,281.64,Player3,,0.1,0.42,,,3389.4740052657653,False
Home,PASS,,1,7041,281.64,7148,285.92,Player3,Player4,0.1,0.42,0.03,0.03,,False
Away,CHALLENGE,GROUND-LOST,1,7043,281.72,7043,281.72,Player24,,0.1,0.39,,,3389.4949749433663,False
Home,BALL LOST,,1,7199,287.96,7204,288.16,Player4,,0.1,0.01,0.14,0.02,4037.058955241116,False
Away,RECOVERY,,1,7203,288.12,7203,288.12,Player18,,0.13,0.01,,,3389.7302575820877,False
Away,PASS,,1,7203,288.12,7266,290.64,Player18,Player21,0.13,0.01,0.2,0.11,4281.770306302396,False
Away,PASS,,1,7266,290.64,7290,291.6,Player21,Player18,0.2,0.11,0.18,0.04,,False
Away,PASS,,1,7334,293.36,7387,295.48,Player18,Player15,0.24,0.02,0.38,0.08,4552.9515132711695,False
Away,PASS,,1,7404,296.16,7427,297.08,Player15,Player23,0.38,0.08,0.25,0.21,417.3479942435315,True
Away,BALL LOST,,1,7465,298.6,7470,298.8,Player23,,0.23,0.26,0.21,0.26,,False
Home,RECOVERY,,1,7472,298.88,7472,298.88,Player3,,0.2,0.29,,,3389.5914039455797,False
Home,BALL LOST,,1,7472,298.88,7518,300.72,Player3,,0.2,0.29,0.26,0.26,1887.4204086635661,True
Away,RECOVERY,,1,7519,300.76,7519,300.76,Player19,,0.26,0.29,,,3389.601613808922,False
Away,PASS,,1,7519,300.76,7556,302.24,Player19,Player18,0.26,0.29,0.29,0.07,,False
Away,PASS,,1,7603,304.12,7632,305.28,Player18,Player19,0.29,0.07,0.3,0.24,2093.2091438461093,True
Away,CHALLENGE,TACKLE-LOST,1,7698,307.92,7698,307.92,Player19,,0.24,0.22,,,3389.6412584183345,False
Away,BALL LOST,THEFT,1,7698,307.92,7698,307.92,Player19,,0.24,0.22,,,3389.6412584183345,False
Home,CHALLENGE,TACKLE-LOST,1,7699,307.96,7699,307.96,Player8,,0.22,0.17,,,3389.6617361266317,False
Away,RECOVERY,,1,7724,308.96,7724,308.96,Player21,,0.19,0.27,,,3389.605387545572,False
Away,SHOT,OFF TARGET-OUT,1,7753,310.12,7789,311.56,Player21,,0.2,0.3,-0.04,0.65,627.5805843098572,True
Home,RECOVERY,,1,8482,339.28,8482,339.28,Player11,,0.04,0.52,,,3389.323839815103,False
Home,BALL LOST,GOAL KICK-INTERCEPTION,1,8482,339.28,8576,343.04,Player11,,0.04,0.52,0.64,0.38,2478.5197011369883,True
Away,CHALLENGE,AERIAL-WON,1,8576,343.04,8576,343.04,Player15,,0.62,0.36,,,3389.631238571147,False
Away,RECOVERY,INTERCEPTION,1,8576,343.04,8576,343.04,Player15,,0.62,0.36,,,3389.631238571147,False
Away,BALL LOST,HEAD,1,8576,343.04,8580,343.2,Player15,,0.62,0.36,0.63,0.36,3333.4211804956435,True
Home,RECOVERY,,1,8581,343.24,8581,343.24,Player10,,0.6,0.37,,,3389.6258053246243,False
Home,BALL LOST,HEAD,1,8581,343.24,8652,346.08,Player10,,0.6,0.37,0.68,0.35,2528.6992452845375,True
Away,RECOVERY,,1,8650,346.0,8650,346.0,Player15,,0.66,0.35,,,3389.4980131991374,False
Away,PASS,HEAD,1,8650,346.0,8686,347.44,Player15,Player16,0.66,0.35,0.75,0.38,4378.523654807179,False
Away,BALL LOST,,1,8686,347.44,8735,349.4,Player16,,0.75,0.38,0.64,0.28,,False
Home,RECOVERY,,1,8734,349.36,8734,349.36,Player8,,0.64,0.23,,,3389.1583359523574,False
Home,BALL OUT,,1,8753,350.12,8843,353.72,Player8,,0.65,0.21,0.74,-0.04,,False
Away,SET PIECE,THROW IN,1,8868,354.72,8868,354.72,Player18,,,,,,0.0,True
Away,PASS,,1,8868,354.72,8892,355.68,Player18,Player19,0.77,-0.01,0.72,0.1,874.3648785047001,True
Away,BALL LOST,INTERCEPTION,1,8937,357.48,9068,362.72,Player19,,0.71,0.11,0.08,0.17,,False
Home,RECOVERY,INTERCEPTION,1,9069,362.76,9069,362.76,Player3,,0.09,0.14,,,3389.661344259994,False
Home,BALL OUT,,1,9098,363.92,9127,365.08,Player3,,0.02,0.1,0.05,-0.04,,False
Away,SET PIECE,THROW IN,1,9215,368.6,9215,368.6,Player23,,,,,,0.0,True
Away,PASS,,1,9215,368.6,9255,370.2,Player23,Player18,0.06,0.0,0.22,0.06,4425.578609316593,False
Away,PASS,,1,9306,372.24,9337,373.48,Player18,Player19,0.18,0.11,0.24,0.3,3059.652492270799,True
Away,BALL LOST,INTERCEPTION,1,9337,373.48,9356,374.24,Player19,,0.24,0.3,0.24,0.39,1876.5614413862536,True
Home,RECOVERY,INTERCEPTION,1,9354,374.16,9354,374.16,Player6,,0.22,0.36,,,3389.5394453013373,False
Home,PASS,,1,9390,375.6,9442,377.68,Player6,Player10,0.29,0.38,0.55,0.13,984.9736093164116,True
Home,PASS,DEEP BALL,1,9599,383.96,9628,385.12,Player10,Player8,0.87,0.29,0.96,0.37,4654.021573452434,False
Home,SHOT,ON TARGET-SAVED,1,9628,385.12,9632,385.28,Player8,,0.96,0.37,0.98,0.46,2487.7122566547478,True
Away,RECOVERY,SAVED,1,9634,385.36,9634,385.36,Player25,,0.97,0.44,,,3389.2415596034384,False
Away,BALL OUT,,1,9634,385.36,9663,386.52,Player25,,0.97,0.44,1.03,0.33,,False
Home,SET PIECE,CORNER KICK,1,10387,415.48,10387,415.48,Player6,,,,,,0.0,True
Home,PASS,,1,10387,415.48,10418,416.72,Player6,Player10,0.99,0.01,0.94,0.09,700.4411772662409,True
Home,PASS,,1,10453,418.12,10477,419.08,Player10,Player6,0.94,0.09,0.87,0.1,,False
Home,PASS,,1,10493,419.72,10527,421.08,Player6,Player5,0.86,0.11,0.78,0.36,1050.1287246492864,True
Home,PASS,,1,10551,422.04,10599,423.96,Player5,Player7,0.79,0.36,0.74,0.64,1334.9635546107997,True
Home,BALL LOST,INTERCEPTION,1,10613,424.52,10651,426.04,Player7,,0.75,0.65,0.92,0.46,773.1822794486388,True
Away,RECOVERY,INTERCEPTION,1,10653,426.12,10653,426.12,Player15,,0.91,0.47,,,3388.955821037627,True
Away,BALL LOST,HEAD-INTERCEPTION,1,10653,426.12,10709,428.36,Player15,,0.91,0.47,0.83,0.52,98.07764866629276,True
Home,CHALLENGE,AERIAL-WON,1,10708,428.32,10708,428.32,Player8,,0.83,0.51,,,3389.5727524955987,False
Home,RECOVERY,INTERCEPTION,1,10708,428.32,10708,428.32,Player8,,0.83,0.51,,,3389.5727524955987,False
Home,PASS,HEAD,1,10708,428.32,10742,429.68,Player8,Player3,0.83,0.51,0.83,0.54,1912.932140014535,True
Away,CHALLENGE,AERIAL-LOST,1,10709,428.36,10709,428.36,Player22,,0.84,0.51,,,3389.5593109033794,False
Home,BALL LOST,HEAD-INTERCEPTION,1,10742,429.68,10761,430.44,Player3,,0.83,0.54,0.87,0.45,,False
Away,RECOVERY,INTERCEPTION,1,10761,430.44,10761,430.44,Player15,,0.86,0.47,,,3389.250812037787,False
Away,BALL LOST,HEAD-FORCED,1,10761,430.44,10801,432.04,Player15,,0.86,0.47,0.78,0.65,886.6257639151454,True
Home,CHALLENGE,AERIAL-FAULT-LOST,1,10801,432.04,10801,432.04,Player2,,0.76,0.65,,,3389.4753146325797,False
Away,CHALLENGE,AERIAL-FAULT-WON,1,10801,432.04,10801,432.04,Player21,,0.76,0.65,,,3389.4753146325797,False
Away,SET PIECE,FREE KICK,1,11586,463.44,11586,463.44,Player25,,,,,,0.0,True
Away,PASS,,1,11586,463.44,11619,464.76,Player25,Player17,0.78,0.55,0.7,0.79,1029.4953870015897,True
Away,PASS,,1,11674,466.96,11701,468.04,Player17,Player22,0.65,0.83,0.57,0.97,742.4231789404752,True
Away,PASS,,1,11727,469.08,11763,470.52,Player22,Player20,0.58,0.94,0.54,0.73,,False
Away,PASS,,1,11788,471.52,11812,472.48,Player20,Player19,0.53,0.71,0.5,0.52,,False
Away,PASS,,1,11831,473.24,11861,474.44,Player19,Player24,0.5,0.55,0.39,0.4,,False
